i think you need to be in the hospital .	我想你需要在醫院裡 。
we're biological creatures .	我們是生物生物生物 。
i couldn't disagree more .	我無法分析更多 。
that's what we all need to do .	這就是我們所有需要做的 。
so no more missing , guys .	所以 , 沒有更多的錯誤 。
it's so glamorous .	很魅惑 。
and let me illustrate that .	讓我說明一下 。
and i kept on getting lost .	我繼續不斷地失敗 。
it is not a guarantee .	這不是保證 。
the queen of clubs !	俱樂部的皇后 。
this is a huge collaboration .	這是個很大的合作 。
that's a terrible story .	那是個很糟糕的故事 。
now , that's one barrier .	這是一個障礙 。
there are , indeed , problems .	問題是 , 問題是 ,
we live in ignorance .	我們生活在無知 。
no , that's what i thought .	不 , 這是我以為的 。
you can manipulate it yourself .	你可以操控自己 。
language just doesn't work that way .	語言並不適用 。
but there will always be another war . "	但還有另一場戰爭 。 」
ah , sorry about that .	很抱歉 。
now that never would have been possible before .	從來沒有發生過 。
and women do fundraising .	女性在募資 。
sure , she had aged a little .	當然 , 她已經年齡了 。
we first began by looking at heart disease .	我們第一次開始研究心臟病 。
and there are various facets .	有各種面向 。
because , the earth is our ship .	因為 , 地球是我們的船 。
thank you very much . thank you .	謝謝
they fought . the worked .	他們打仗 , 工作 。
i get emotional . sorry .	我很抱歉 。
now , what about concrete ?	關於混凝土呢 ?
so basically , i got . . .	基本上 , 我得到了......
i started off in uganda .	我開始在烏干達 。
don't tell us where you are .	別告訴我們你在哪裡 。
and so i believed it , too .	所以我也相信它 。
so , i wanted to show you something .	所以我想要給你們看一些東西 。
and you can get a list .	你可以得到清單 。
you can observe it .	你可以觀察到它 。
but i want to do more than that .	但我想要做更多的 。
it's a problem like any other .	它是個問題 。
and she goes on to say . . .	她繼續說......
and i couldn't hear this sound .	我無法聽到這個聲音 。
and here's the most important part .	這是最重要的部分 。
here's what that looks like .	這是這樣的樣子 。
so you have to do something like this .	所以你必須這樣做 。
and it uses no fuel .	它用不燃料 。
i had done the homework .	我完成了家庭作業 。
landing hurts .	破壞了 。
we victims need everyone .	我們受害者需要每個人都 。
so now this technology — thank you .	現在 , 感謝你們 。
i'd like to try something new .	我想要嘗試一些新的東西 。
how much do you get paid ?	你會得到多少薪資 ?
i wanted to seek out new life .	我想要尋找新的生命 。
it was around this time when . . .	當時在那時候 。
he made sure that everything lined up .	他確保每條線都能做到 。
that may sound ridiculous .	聽起來很荒謬 。
stick with the people you know .	和你所認識的人們一樣 。
lots of us mayors do that .	我們的許多人都能這麼做 。
that really creeped us out .	這真的讓我們出去了 。
what do you do for a living ? "	你要做什麼 ? 」
but they were random things .	但他們是隨機的 。
they said he was that kind of guy .	他們說他是那個人 。
how many people have their blackberry ?	有多少人有他們的黑莓機 ?
but now , it was closing .	但現在 , 它是臨床的 。
i call it the ipatient .	我稱它為 「 耐心 」 。
no , we shouldn't measure .	不 , 我們不應該測量 。
