i think you need to be in the hospital .	我覺得你需要在醫院裡 。
we're biological creatures .	我們是生物生物 。
i couldn't disagree more .	我無法分辨更多 。
that's what we all need to do .	這就是我們所需要做的 。
so no more missing , guys .	所以 , 沒有更多的失誤 。
it's so glamorous .	很魅惑 。
and let me illustrate that .	讓我解釋一下 。
and i kept on getting lost .	我一直不斷失敗 。
it is not a guarantee .	這不是保證 。
the queen of clubs !	俱樂部的皇后 。
this is a huge collaboration .	這是個很大的合作 。
that's a terrible story .	這是個很糟糕的故事 。
now , that's one barrier .	這是個障礙 。
there are , indeed , problems .	嗯 , 問題是 ,
we live in ignorance .	我們活著無知 。
no , that's what i thought .	不 , 這就是我所想的 。
you can manipulate it yourself .	你可以操控自己 。
language just doesn't work that way .	語言只是沒有用這種方式 。
but there will always be another war . "	但一定會有另一種戰爭 。 」
ah , sorry about that .	喔 , 抱歉 。
now that never would have been possible before .	現在從來沒有可能發生過 。
and women do fundraising .	女性募資了 。
sure , she had aged a little .	當然 , 她的年齡很小 。
we first began by looking at heart disease .	我們從心臟病開始開始 。
and there are various facets .	這裡有各種面孔 。
because , the earth is our ship .	因為地球是我們的船 。
thank you very much . thank you .	非常感謝 。 謝謝
they fought . the worked .	他們打敗了 。
i get emotional . sorry .	我很抱歉 。
now , what about concrete ?	那麼混凝土呢 ?
so basically , i got . . .	基本上 , 我得到了......
i started off in uganda .	我從烏干達開始 。
don't tell us where you are .	別告訴我們你在哪裡 。
and so i believed it , too .	我相信這也是如此 。
so , i wanted to show you something .	所以 , 我想給你們看一些東西 。
and you can get a list .	你可以得到一個清單 。
you can observe it .	你可以觀察它 。
but i want to do more than that .	但我想要做更多 。
it's a problem like any other .	這是個問題 。
and she goes on to say . . .	她會說: 「 ...... 」
and i couldn't hear this sound .	我無法聽見這個聲音 。
and here's the most important part .	這是最重要的部分 。
here's what that looks like .	這是樣子的樣子 。
so you have to do something like this .	所以你必須做類似這樣的事 。
and it uses no fuel .	它用沒有燃料 。
i had done the homework .	我做了一個家作 。
landing hurts .	土地受到傷害 。
we victims need everyone .	我們受害者需要每一個人 。
so now this technology — thank you .	所以現在這個科技非常感謝你 。
i'd like to try something new .	我想要嘗試新東西 。
how much do you get paid ?	你賺多少錢 ?
i wanted to seek out new life .	我想要尋找新的生命 。
it was around this time when . . .	當時在那時候發生了 。
he made sure that everything lined up .	他確保每條線都一樣 。
that may sound ridiculous .	這聽起來很荒謬 。
stick with the people you know .	和你所認識的人 ,
lots of us mayors do that .	我們大部分的市長都這麼做了 。
that really creeped us out .	這真是讓我們感到驚訝 。
what do you do for a living ? "	你在做什麼 ? 」
but they were random things .	但它們是隨機的 。
they said he was that kind of guy .	他們說他是那個傢伙 。
how many people have their blackberry ?	有多少人有黑莓機 ?
but now , it was closing .	但現在 , 它被關閉了 。
i call it the ipatient .	我稱它為 「 耐心 」 。
no , we shouldn't measure .	不 , 我們不應該測量 。
so how on earth do we even see ?	所以 , 我們在地球上看到什麼 ?
by leading a movement and making change .	透過領導一個運動 , 做出改變 。
he started a motorbike company .	他開始了摩托車公司 。
comedians know all about this .	喜劇演員都知道這一切 。
scott , thank you so much .	史考特 , 非常感謝你 。
they started making their own video games .	他們開始製作自己的電玩遊戲 。
they're more american than anything else .	他們比任何其他東西都更美好 。
and we knew nothing about going to space .	我們也不知道要去太空總署 。
but they always stop and take a picture .	但他們總是停止拍照 。
about 325 have been produced .	大約有325種被製造出來 。
because maybe , maybe they mean a lot .	因為也許他們代表了很多 。
what about if you're new power ?	假如你是新的力量嗎 ?
what do you want to write about ? "	你想要寫什麼 ? 」
try 1 and check the light .	試試1、檢查燈光 。
ca: last question , larry .	克里斯:最後一個問題 。
ag: yeah . ok .	ag:是的 。 好 。
so we started looking elsewhere .	所以我們開始尋找其他地方 。
my father was literally born again .	我的父親是從來的 。
and i said , " yeah . "	我說: 「 是的 。 」
can i have the lights up again ?	我能有燈光嗎 ?
i've never known anything else .	我從來沒有認識過其他的東西 。
but let me just say a couple words .	但讓我說幾個字 。
can you write it using pictures ?	你可以用圖片來寫它嗎 ?
next stop was georgia .	下一個停止是喬治亞 。
yes ! yes ! it's true !	是的 ! 真的 !
i can actually personalize the experience now .	我真的可以個人化的體驗 。
what does not change is that voice within .	沒有改變的聲音 。
we need eight hours of sleep a night .	我們需要八小時睡眠 。
and you're all invited .	你都被邀請了 。
so , i did this work for her .	所以 , 我做了這份工作 。
it's not our burden .	這不是我們的負擔 。
how can we find an entire connectome ?	我們要如何找到一個全聯結呢 ?
we all start life as one single cell .	我們所有的生命都成為一個單細胞 。
and that will get you very far .	那會讓你很遠 。
no , i don't do that .	不 , 我不會這麼做 。
in reality , take a guess .	在現實中 , 猜猜 。
hold your breath for me .	呼吸我的呼吸 。
there's no question about it .	沒有問題 。
paper has some downsides .	紙上有一些下面 。
that can't be right . "	沒錯 。 」
there would still be dangers .	仍然有危險 。
we are very far from it .	我們是很遠的 。
twice as likely .	兩倍的兩倍 。
i was just a kid back then .	我只是個孩子回來 。
and that's what you get .	這就是你所得到的 。
they continued doing exactly the same .	他們繼續做同樣的事 。
but the data says something different .	但數據顯示出不同 。
the product was that airplane .	產品是飛機 。
we're not alone , though .	我們並不孤單 。
now , there's another problem .	現在 , 還有另一個問題 。
the goal is very clear .	目標非常清楚 。
we'll need an action .	我們需要行動 。
why are we conscious ?	為什麼我們有意識 ?
is there anyone else out there ?	這裡有沒有人在那裡嗎 ?
and kathe did her job .	凱西是她的工作 。
it was all rubble .	這一切都是垃圾 。
the young man should be made first .	年輕人應該是第一個 。
this is a hologram .	這是一台攝影機 。
tabutni . thank you .	布坦尼 , 謝謝你 。
why has the record been so poor ?	為何有這麼多的貧窮 ?
and there's the sheep .	這裡有羊 。
now to the final approach .	最後一個方法 。
why do we sometimes cheat ?	為何我們有時候會作弊 ?
now , here's another reason .	這是另一個理由 。
i'm numb .	我是麻木 。
and here's the statement .	這裡有一句話 。
it's a core question .	這是個核心問題 。
that was the magic number .	那是魔法數字 。
and this is slowly starting .	這是慢慢的開始 。
so i came up with a plan .	所以 , 我做了一個計畫 。
so i wanted something to solve it .	所以我想要解決它 。
it's going to be fun .	它會很有趣 。
but how does it work , exactly ?	但它是怎麼運作的 ?
so that's a big change .	這是個很大的改變 。
they're just not moving .	他們只是沒有移動的 。
maybe you've heard of her .	也許你聽過她 。
his vision was pretty poor .	他的視力很貧窮 。
" i'm ok . "	「 我好了 。 」
sr: that is true .	sr:這是真的 。
and then you see a date .	然後你會看到一個日子 。
but then what happens in step three ?	但接下來發生了什麼事 ?
and what has happened in the world ?	世界發生了什麼事 ?
you decided to build a space company .	你決定建立一個空間公司 。
and everything that my office was doing .	我的辦公室都在做 。
we are not a special interest group .	我們不是特殊的利益團體 。
get yourself to a specialist center .	讓自己成為一個專家中心 。
hopefully , they will come .	希望他們會得到 。
this might be a startling answer .	這可能是一開始的答案 。
they're paid for .	他們是付錢的 。
np: i remember that .	np:我記得那 。
" beth , " she said .	「 貝斯 」 , 她說了 。
there are actually two tails .	其實有兩個尾巴 。
he had acromegaly .	他有很大的情況 。
the second thing you need is light .	第二件事你需要的是光 。
supercomputers same thing .	超級電腦相同 。
they watched the video over there .	他們看了影片 。
so i became my own intern .	所以我變成了我自己的內部 。
who is that going to come from ?	誰會是從來的 ?
well , what difference does this make ?	嗯 , 這會有什麼差異呢 ?
i've talked to them .	我跟他們說話 。
now , it goes down to a .	現在 , 它會降低到一個 。
because notice the porch here .	因為注意到這裡的顏色 。
these are haikus .	這些是haikus 。
i am an emotional creature .	我是一個情緒生物 。
we hear about them all the time .	我們常常聽到他們 。
so we did it . okay ?	所以我們做了 , 好嗎 ?
this gets you to 6 .	這會讓你得到6個 。
we need help . we need help .	我們需要協助 , 我們需要協助 。
and i can repeat that .	我可以重複這一點 。
yet i had that piece of paper .	但是我有這張紙 。
and it didn't stop there .	還沒有停止 。
her name is esther .	她的名字叫ther 。
then we can start to use cells .	然後我們可以開始使用細胞 。
come , let's go inside .	咱們來吧 。
and what did i say about work ?	我在說什麼呢 ?
i suppose we are . "	我假設我們是 。 」
five factorial is 120 .	五個事實是120歲 。
he said , " be you . "	他說: 「 妳 。 」
secondly , that's wrong .	第二 , 這是錯的 。
i put my hopes in front .	我把我的希望放在前面 。
decision scientists are people like me .	決策科學家就像我一樣 。
and the answer is that they do .	答案是他們所做的 。
mr: thank you .	mr:謝謝你 。
and they go up easily .	而且他們很容易 。
we got reports like this .	我們有這樣的報告 。
start by doing no harm .	首先 , 沒有傷害 。
talk about a few of them .	談談其中幾個人 。
one was that they be american .	其中一個是美國人 。
so what about the next step ?	所以 , 下一步是什麼 ?
we wanted to do something different .	我們想要做些不同的事 。
so this was a great project .	這是個很棒的計畫 。
but is it really that easy ?	但這真的很容易嗎 ?
there is this other powerful feeling .	還有另一種強大的感受 。
it's tedious .	這真是太棒了 。
just spread them around .	只是散播它們 。
what would that system look like ?	那系統看起來是什麼樣子 ?
and yet , it never happens .	然而 , 它永遠不會發生 。
schoolchildren play .	學校基金會玩 。
were you vulnerable ?	你脆弱嗎 ?
the design comes from within .	設計來自於內部 。
we play with coins .	我們用硬幣組合 。
did you see what i did ?	你看到我做了什麼嗎 ?
how far can we take it ?	我們有多遠 ?
all companies die , all companies .	所有的公司都死了 , 所有的公司都死了 。
and we knew we were right .	我們知道我們是對的 。
they dumped us there .	他們把我們放棄了 。
it's given to you .	它給予你 。
live long and prosper .	活長和繁榮 。
which would you choose ?	你會選擇什麼 ?
there's no manual .	沒有人性 。
the difference is intent .	差異是內容的 。
i found no flaw .	我發現沒有任何平面 。
he couldn't understand that .	他無法理解這一點 。
and that's not all .	這不是全部 。
well , guess what ?	猜猜怎麼樣 ?
they can't see me .	他們看不見我 。
take a look at our planet .	看看我們的星球 。
sound familiar ?	聽起來很熟悉嗎 ?
so thank you very much .	非常感謝各位 。
so how do you do that ?	所以你要怎麼做呢 ?
jd: it varies .	jd:它差不多 。
ab: yes ? good .	ab:是的 ? 好 。
let’s take numbers .	咱們來看看數字 。
what do we worship ?	我們擔心什麼 ?
so how does this all work ?	所以這一切是怎麼運作的 ?
do you worry much ?	你擔心嗎 ?
this is what some people think .	這是一些人認為的 。
where do we go from here ?	我們從哪裡來 ?
thank you all very much .	非常感謝大家 。
this is a picture of culture .	這是文化的文化 。
i don't get that .	我不會這樣做 。
there could be other solutions .	還有其他的解決方案 。
so it went something like this .	所以它會像這樣 。
but i do think you can .	但我認為你能做到 。
so this is very powerful .	這是非常強大的 。
it got quieter .	很安靜 。
the news loved it .	新聞很喜愛 。
what's going on there ?	到底發生了什麼事 ?
i thought that was really interesting .	我覺得很有趣 。
it's just cash .	這只是金錢 。
how could you forget ?	你要如何忘記 ?
and it's not new .	這不是新的 。
representative government began to form .	代表政府開始形容 。
we are fighting against this .	我們正在對抗這種事 。
just quickly on the results .	很快的結果就會出現 。
that was the future , right ?	那是未來 , 對吧 ?
so i thanked ed .	所以我感謝了 。
idea number three is listening .	第三個是傾聽 。
the wire is ready .	電線已經準備好了 。
really firstclass .	第一階段 。
well , it's not .	嗯 , 這不是 。
but this was 1963 .	但這是1963年 。
it's called color .	它叫做顏色 。
let's find out .	咱們來找答案 。
thank you very much .	非常感謝各位 。
let me show you this .	讓我給你們看一下 。
so when you put four .	所以當你放四個 。
but i need your help .	但我需要你的協助 。
thank you very much .	非常感謝各位 。
some hands going up .	有些手會上升 。
so how does it work ?	所以它是怎麼運作的 ?
a good example is this .	一個好的例子是這個 。
globalize trade .	全球化貿易 。
but what do you do ?	但你會怎麼做 ?
that was not my best .	這不是我最好的 。
no one wants that .	沒有人想要這樣 。
but i believe in them .	但我相信他們 。
entirely new requirement .	全新的需求都需要 。
so what did we find ?	所以 , 我們發現了什麼 ?
and i am thankful .	我很感謝 。
so what can we do ?	所以 , 我們能做什麼 ?
that was the new reality .	那是新的現實 。
it's your money .	這是你的錢 。
so why is this important ?	所以為什麼這重要呢 ?
so what does that mean ?	那意味著什麼呢 ?
so we made this thing .	所以我們做了這件事情 。
thank you very much .	非常感謝各位 。
i don't know .	我不知道 。
thank you very much !	非常感謝你們 。
thank you very much .	非常感謝各位 。
" the business is on .	「 商業是如此 。
now there is another one .	現在有另一種方法 。
why english ?	為什麼英文 ?
okay ? ready ?	準備好了嗎 ?
it is a beautiful room .	這是個美麗的房間 。
what might that look like ?	那看起來是什麼樣子 ?
we say they explore .	我們說他們探索了 。
the heat was on .	熱情是如此 。
this young woman was me .	這位年輕女子是我 。
" lifesized . "	「 生命化 」 。
that moment changed my life .	那一刻改變了我的人生 。
come on , keep up .	來吧 , 繼續下去 。
how can we know this ?	我們要怎麼知道呢 ?
young , bad boys .	年輕、壞的男孩 。
why would it be wrong ?	為什麼會犯錯 ?
and it can do that .	它可以做到 。
how did he learn them ?	他是怎麼學習的 ?
we only have them once .	我們只有他們一次 。
what should it be for ?	該怎麼做 ?
to calm down .	要冷靜下來 。
i got really sick .	我很生病 。
they call her names .	他們叫她名字 。
and i live there now .	現在我活在那裡 。
they are not the truth .	他們不是真相 。
we experimented on ourselves .	我們在自己身上做實驗 。
i love nasa .	我喜歡太空總署 。
life is not about you .	生命不是你所說的 。
which i certainly was .	我肯定是這樣 。
this is just trained .	這只是訓練 。
this is their plan .	這是他們的計畫 。
i just . . .	我只是......
and here it is .	這裡就是這樣 。
silence .	沉默 。
you can see it .	你可以看到它 。
what is math ?	什麼是數學 ?
so i did that .	所以 , 我這麼做了 。
everyone can be wrong .	每個人都會犯錯 。
you talk about it .	你談到它 。
i just did things .	我只是做事 。
how have you been ?	你是怎麼樣的 ?
guess what ?	猜猜怎麼樣 ?
and why is that ?	為什麼會這樣呢 ?
what does this mean ?	這意味著什麼 ?
i did it myself .	我做了自己 。
i didn’t .	我沒有 。
but we wanted them .	但我們想要他們 。
it won't .	它不會發生 。
false .	假裝 。
ohhhh .	喔 !
here is the thing .	這裡有一件事 。
and so it goes .	所以它會發生 。
of course they are .	當然他們是如此 。
consider facit .	考慮冰箱 。
they also live deep .	他們也活得深深 。
sales were up .	銷售量很高 。
it feels great .	感覺很棒 。
you're live .	你活著 。
" showers ? "	「 表演者 ? 」
love , action .	愛情、行動 。
i could not believe .	我無法相信 。
really cool stuff .	真的很酷 。
run away . run .	跑跑 , 跑跑 。
you try it out .	你試試了 。
we can make history .	我們可以製造歷史 。
what would i feel ?	我覺得什麼呢 ?
how important is this ?	多麼重要 ?
it is so hard .	這真是太難了 。
it's amazing .	這真是令人驚訝 。
business knows this .	企業知道這一點 。
they certainly do .	他們肯定會這麼做 。
we have understanding .	我們有理解 。
not quite .	不太好 。
whew !	哇 !
there she is .	她是這樣 。
and the world ?	世界是怎麼樣的 ?
this was europe .	這是歐洲 。
why is that ?	為什麼會這樣呢 ?
so . . .	所以......
so . . .	所以......
check .	檢查 。
this is important .	這是很重要的 。
