i think you need to be in the hospital .	我想你需要醫院的醫院 。
we're biological creatures .	我們是生物學的生物 。
i couldn't disagree more .	我無法想像更難以更加入 。
that's what we all need to do .	這是我們需要做的 , 我們需要做什麼 。
so no more missing , guys .	所以 , 不錯 , 不論是 , 每個人都不錯 。
it's so glamorous .	它是很大的 。
and let me illustrate that .	讓我把我拿到這張圖 。
and i kept on getting lost .	我被殺死了 , 我失去了 。
it is not a guarantee .	它並不是一個很棒的 。
the queen of clubs !	火星的肌肉 ! 喔 !
this is a huge collaboration .	這是巨大的大規模 。
that's a terrible story .	這是很可怕的故事 。
now , that's one barrier .	這裡 , 其中一個人是一名的 。
there are , indeed , problems .	問題是 , 問題 , 問題有問題 。
we live in ignorance .	我們住在貧窮人生活中 , 我們住在貧窮 。
no , that's what i thought .	不 , 不 , 我覺得我認為我是什麼 。
you can manipulate it yourself .	你可以把自己放在自己 。
language just doesn't work that way .	語言不一樣 , 不是工作的方式 。
but there will always be another war . "	但 , 另外一個戰爭 , 通常是另一個戰爭 。 」
ah , sorry about that .	嗯 , 嗯 , 嗯 , 要這樣 。
now that never would have been possible before .	現在 , 不過來 , 不可是不可能的 。
and women do fundraising .	女性做法律 , 和女性一起做法 。
sure , she had aged a little .	雖然 , 她有一小小的小小小小小 。
we first began by looking at heart disease .	第一開始 , 我們開始觀察疾病 。
and there are various facets .	有不同的臉孔 , 完全不同的臉孔 。
because , the earth is our ship .	因為地球 , 地球是地球的 。
thank you very much . thank you .	謝謝謝謝謝謝謝謝謝你 。
they fought . the worked .	牠們的工程師 , 他們工作了 。
i get emotional . sorry .	我的情緒變得很酷 。
now , what about concrete ?	接下來 , 什麼 ?
so basically , i got . . .	基本上 , 基本上 , 我有了 。
i started off in uganda .	我開始在西西哥哥哥哥開始了 。
don't tell us where you are .	不要告訴我們 , 你在哪裡 。
and so i believed it , too .	所以 , 我相信它 , 太太多 ,
so , i wanted to show you something .	所以 , 我希望你們展示一些東西 。
and you can get a list .	你可以拿一個名字 。
you can observe it .	你可以觀察它 。
but i want to do more than that .	但我想要做更多 , 更好 。
it's a problem like any other .	它是其他問題 。
and she goes on to say . . .	她會說 , 她說了 。
and i couldn't hear this sound .	我不能聽到這個聲音 。
and here's the most important part .	這是最重要的部分 。
here's what that looks like .	這裡是 , 看起來像這樣 。
so you have to do something like this .	所以你必須做這個東西 , 像這樣做的事 。
and it uses no fuel .	它用不用不用的燃料 。
i had done the homework .	我做了一家 。
landing hurts .	土地地 , 大陸地 。
we victims need everyone .	我們都需要所有人 , 每個人都需要每個人 。
so now this technology — thank you .	所以 , 這項技術非常謝謝謝你 。
i'd like to try something new .	我喜歡一個新的東西 。
how much do you get paid ?	多少你怎麼做嗎 ?
i wanted to seek out new life .	我想要看到新的生命 。
it was around this time when . . .	在這段時間時 , 當這個時候 , 之後 , 當時在這個時刻 。
he made sure that everything lined up .	他把所有所有東西都不確定 。
that may sound ridiculous .	這聽聽聽聽起來很大的聲音 。
stick with the people you know .	和大家分享大家 , 人們知道你 。
lots of us mayors do that .	許多人或許我們可能是做的事 。
that really creeped us out .	這是我們很驚訝的 。
what do you do for a living ? "	你怎麼做什麼 ? "
but they were random things .	但他們是相同的事 。
they said he was that kind of guy .	他們說 , 他是個人人 。
how many people have their blackberry ?	多少人有多少黑人有多少人嗎 ?
but now , it was closing .	但 , 這裡 , 它是一台 。
i call it the ipatient .	我稱它叫它 。
no , we shouldn't measure .	不 , 我們應該測量量量量量量量量量量 。
so how on earth do we even see ?	所以 , 地球上 , 即使我們看到地球的 ?
by leading a movement and making change .	領導者和領導者 , 改變了改變 。
he started a motorbike company .	他開始了一家公司 。
comedians know all about this .	美國人知道 , 所有人知道 , 所有人都知道 。
scott , thank you so much .	顯然 , 謝謝謝謝謝謝你 。
they started making their own video games .	他們開始自己的影片 , 他們開始自己的遊戲 。
they're more american than anything else .	美國 , 他們比其他其他人比其他其他人更好 。
and we knew nothing about going to space .	我們知道 , 不需要空間的空間 。
but they always stop and take a picture .	但他們總是停止 , 一張照片都停止 。
about 325 have been produced .	335年 , 已經產生了35% 。
because maybe , maybe they mean a lot .	或許 , 或許他們是很多 。
what about if you're new power ?	什麼是 , 如果你是新的力量 ?
what do you want to write about ? "	你想要寫什麼 ? "
try 1 and check the light .	試試一下 , 光線和光光光光 。
ca: last question , larry .	克:最後 , 一個問題 。
ag: yeah . ok .	一:嗯 , 嗯 , 嗯 , 啊 !
so we started looking elsewhere .	所以 , 我們開始看看其他地方 。
my father was literally born again .	我父親的父親是一生生生 。
and i said , " yeah . "	我說: 「 嗯 , 是啊 ! 」
can i have the lights up again ?	我能再再再再再再再再再再再再再再再再再再再再再再再再再再次
i've never known anything else .	我從未知 , 沒有任何任何人知道 。
but let me just say a couple words .	但 , 讓我說幾句話 。
can you write it using pictures ?	你可以寫它 , 把我們寫了嗎 ?
next stop was georgia .	接下來 , 最後是亞亞亞 。
yes ! yes ! it's true !	啊 ! 啊 ! 真的 ! 真的 !
i can actually personalize the experience now .	我其實可以讓個人體體驗的經驗 。
what does not change is that voice within .	這不是改變的聲音 , 不改變的聲音 。
we need eight hours of sleep a night .	我們需要六小時的睡眠 。
and you're all invited .	各位都在ted演講中 , 所有人都都在ted 。
so , i did this work for her .	所以 , 我做了這個工作 。
